relays,power_dbm,analytical,simulation,asymptotic
2,20.0,0.3057660313194068,0.30577792293452205,78.80785489739957
2,25.0,0.2991470134018388,0.2991524368588118,7.973854348933734
2,30.0,0.1907552189924432,0.19071859408674208,0.8238428250132865
2,35.0,0.05354622340378117,0.05349530382592016,0.09329419900033878
2,40.0,0.010892740613021389,0.010956776273356669,0.013633228262718773
2,45.0,0.003098936937740594,0.003093894463562857,0.0035032201017901024
3,20.0,0.2663259081038747,0.26632214589966735,1284.325150941718
3,25.0,0.25858296862255764,0.2586251842766899,41.22979691165155
3,30.0,0.13675119883028009,0.13670125067465,1.3461680151830737
3,35.0,0.022107951836708637,0.022172995182768968,0.05352367299558409
3,40.0,0.002112659864914184,0.002112413681839338,0.003050151343768477
3,45.0,0.0003440845993767126,0.0003323612892032236,0.00042642851238188244
4,20.0,0.2347902845663118,0.23479092132618853,22246.305687688015
4,25.0,0.2265430223455042,0.2265399671852052,226.51592131897985
4,30.0,0.10301577527453826,0.10281256095580081,2.418025052735678
4,35.0,0.009436569012885289,0.009391690362407681,0.03161684892617605
4,40.0,0.00043170128969933824,0.0004323170812062862,0.0007202597844124431
4,45.0,4.2735358579093295e-05,3.9255940511394035e-05,5.819035915046652e-05
