relays,power_dbm,proposed,mpc,epc,bcd_iterations
3,20.0,0.2663259081038747,0.3367486063834647,0.40716453666508134,12
3,25.0,0.25858296862255764,0.3259345678093197,0.4030834271692915,12
3,30.0,0.13675119883028009,0.16857213385803843,0.2557646328235405,12
3,35.0,0.022107951836708637,0.026017296616758435,0.04617737099515002,12
3,40.0,0.002112659864914184,0.0024687372378602505,0.004617570872016754,12
3,45.0,0.0003440845993767126,0.00039952320725354364,0.0007559937206469272,12
5,20.0,0.20966980975607022,0.33674374990966516,0.3930093431185602,12
5,25.0,0.20122060011074078,0.31901306889222275,0.3872104740333893,12
5,30.0,0.07929010412632302,0.11039385188082528,0.18541070803044035,12
5,35.0,0.004003570526434688,0.005387447217050911,0.01101370506777218,12
5,40.0,8.945740679732927e-05,0.00012191261565971087,0.0002627023685950972,12
5,45.0,5.5788522942125045e-06,7.642220729302765e-06,1.6689499950078517e-05,12
