relays,c1,proposed,mpc,epc,bcd_iterations
3,1.0,0.0004795634416790639,0.0005330041716036699,0.0009580413169648338,12
3,3.0,0.0003440845993767126,0.00039952320725354364,0.0007559937206469272,12
3,5.0,0.0002769136616835244,0.00034709859463680876,0.0006871790827035819,12
3,7.0,0.00022464561381791958,0.00031726449200011577,0.0006494064483071291,12
3,9.0,0.00018748189291913309,0.00029740597323268286,0.0006246345302187374,12
5,1.0,7.828577429792022e-06,9.01011336224256e-06,2.012863953204105e-05,12
5,3.0,5.5788522942125045e-06,7.642220729302765e-06,1.6689499950078517e-05,12
5,5.0,4.252778188853921e-06,7.104981267988622e-06,1.5548584466383597e-05,12
5,7.0,3.3146135599277943e-06,6.7992459190885635e-06,1.492462788857424e-05,12
5,9.0,2.5953712662589396e-06,6.595738837346069e-06,1.477009313232673e-05,12
