relays,tau,proposed,mpc,epc,bcd_iterations
3,0.0,0.0003440845993767126,0.00039952320725354364,0.0007559937206469272,12
3,2.5,0.0006941013007177712,0.0008058937788851013,0.0009522616690855972,12
3,5.0,0.0008411776723382485,0.0009891276500452848,0.0010511916488035393,12
3,7.5,0.0009284949056771107,0.0011017800028012292,0.0011147638381542153,12
3,10.0,0.0009875358730020451,0.0011799091964271044,0.0011598449834079067,12
3,12.5,0.0010306275779891824,0.001237899560628431,0.0011937346883035605,12
5,0.0,5.5788522942125045e-06,7.642220729302765e-06,1.6689499950078517e-05,12
5,2.5,1.1321475526957953e-05,1.619612914043038e-05,1.9127714079617826e-05,12
5,5.0,1.3948077707254113e-05,2.0349132480568942e-05,2.0515473674484807e-05,12
5,7.5,1.5588250890717507e-05,2.2993349174587585e-05,2.148688602043755e-05,12
5,10.0,1.6756099444170506e-05,2.48649374665662e-05,2.2221474624586194e-05,12
5,12.5,1.7658264604162656e-05,2.6272670289831565e-05,2.2802149577087454e-05,12
