relays,c2,proposed,mpc,epc
3,5.0,0.0003670897375961143,0.0005239485285291364,0.0007583907309692807
3,10.0,0.0003003079632731119,0.0003868875497132436,0.0007322589865960053
3,15.0,0.0002640697341369656,0.0003232240012610809,0.0007061272422227295
3,20.0,0.0002311376795508818,0.0002845715443823307,0.0006799954978494534
3,25.0,0.0002081476644309376,0.0002579323672649309,0.0006538637534761777
5,5.0,7.075412015483277e-06,1.101514219802073e-05,1.635121288641327e-05
5,10.0,5.082971645763341e-06,7.248015608513087e-06,1.583227753116838e-05
5,15.0,3.966545386516124e-06,5.498220384310723e-06,1.531334217592348e-05
5,20.0,3.216205895296701e-06,4.435856031482581e-06,1.479440682067858e-05
5,25.0,2.817995248058404e-06,3.70367716256935e-06,1.427547146543368e-05
