relays,tau,proposed,mpc,epc
3,0.0,0.0003003021913401628,0.0003868875497132436,0.0007322589865960053
3,2.5,0.000671999969849457,0.0007804643431324917,0.0009223508084423487
3,5.0,0.000814398864589182,0.0009579502921326765,0.001018167676298
3,7.5,0.000872777404448374,0.001067075218541,0.001079739386751
3,10.0,0.000956138161661641,0.001142760646532,0.001123401926153
3,12.5,0.000997872676330915,0.001198938465072,0.00115622519555
5,0.0,5.28406505792625e-06,7.248015608513087e-06,1.583227753116838e-05
5,2.5,1.07239566197599e-05,1.536173255384726e-05,1.814496097899357e-05
5,5.0,1.32139396497922e-05,1.930143348534531e-05,1.946127221094261e-05
5,7.5,1.47725213137083e-05,2.180995889331216e-05,2.038267170013452e-05
5,10.0,1.58828353181397e-05,2.358555167073184e-05,2.107944024281233e-05
5,12.5,1.67454012289757e-05,2.492110342201491e-05,2.163021932941787e-05
